n, iterator-time, recursive-time
465,569,1253
466,573,1351
467,572,1365
468,572,1260
469,581,1322
470,585,1394
471,584,1391
472,581,1364
473,582,1436
474,586,1745
475,591,1569
476,591,1653
477,588,1580
478,666,1636
479,595,1606
480,585,1402
481,605,1349
482,611,1387
483,608,1400
484,599,1485
485,603,1361
486,604,1493
487,598,1454
488,606,1480
489,605,1405
490,599,1458
491,618,1421
492,620,1571
493,623,1723
494,625,1755
495,623,1739
496,635,1708
497,632,1681
498,613,1509
499,630,1728
500,625,1781
501,627,1742
502,627,1781
503,632,1745
504,632,1595
505,630,1484
506,629,1377
507,630,1432
508,636,1428
509,635,1432
510,637,1436
511,638,1455
512,636,1442
513,638,1441
514,641,1443
515,640,1456
516,636,1461
517,633,1371
518,639,1341
519,637,1427
520,653,1422
521,642,1554
522,634,1519
523,641,1485
524,645,1494
525,645,1435
526,645,1579
527,647,1649
528,650,1536
529,651,1557
530,651,1439
531,648,1483
532,648,1503
533,657,1464
534,660,1434
535,648,1417
536,648,1367
537,653,1598
538,664,1514
539,659,1640
540,659,1476
541,698,1813
542,665,1743
543,662,1716
544,666,1650
545,691,1596
546,659,1588
547,664,1498
548,675,1500
549,669,1508
550,668,1548
551,678,1577
552,665,1660
553,670,1538
554,677,1608
555,674,1599
556,686,1577
557,688,1610
558,680,1642
559,685,1609
560,684,1636
561,687,1618
562,696,1670
563,687,1613
564,687,1627
565,689,1672
566,692,1685
567,692,1634
568,695,1669
569,695,1677
570,692,1649
571,698,1619
572,694,1642
573,702,1661
574,697,1679
575,697,1646
576,699,1675
577,702,1671
578,702,1648
579,708,1681
580,708,1710
581,709,1711
582,707,1751
583,710,1746
584,709,1685
585,714,1687
586,714,1673
587,710,1739
588,713,1684
589,717,1675
590,716,1718
591,717,1703
592,720,1753
593,722,1704
594,720,1775
595,720,1705
596,723,1780
597,725,1729
598,734,1973
599,732,1935
600,732,1769
601,728,1799
602,730,1652
603,731,1691
604,729,1666
605,731,1723
606,738,1655
607,736,1723
608,739,1756
609,739,1728
610,736,1726
611,740,1696
612,741,1692
613,738,1747
614,741,1693
615,742,1722
616,744,1731
617,755,1694
618,754,1693
619,756,1797
620,758,1699
621,758,1792
622,760,1803
623,759,1725
624,757,1751
625,757,1868
626,775,1773
627,767,1865
628,777,2084
629,789,1889
630,783,1895
631,780,1901
632,783,1871
633,783,1901
634,761,1998
635,785,1978
636,788,2074
637,787,1955
638,779,1850
639,783,1913
640,1004,2500
641,793,2317
